ID,Project_Code,PQ,PO/SO,ASN/DN,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule/Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
83644,104-CI-T30,FPQ-9749,SO-42370,DN-2970,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,4/19/12,N/A - From RDC,31-Jan-13,25-Jan-12,25-Jan-13,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,9577,92130.74,9.62,0.16,"Aurobindo Unit III, India",Yes,6889,24138.35,129.17,24138.35,6889
47837,107-RW-T30,FPQ-3859,SCMS-48850,ASN-4656,Rwanda,PMO - US,Direct Drop,CIP,Air,6/30/09,7/16/09,10-Aug-09,10-Aug-09,10-Aug-09,ARV,Adult,HETERO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,9300,28737.0,3.09,0.05,Hetero Unit III Hyderabad IN,Yes,550,3054.13,56.32,3054.13,550
21217,109-TZ-T30,FPQ-13927,SCMS-232850,ASN-25559,Tanzania,PMO - US,Direct Drop,EXW,Air,3/21/14,3/27/14,24-Jun-14,24-Jun-14,24-Jun-14,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,36000,129600.0,3.6,0.06,Mylan (formerly Matrix) Nashik,Yes,2205,9815.52,133.23,9815.52,2205
83622,106-HT-T30,FPQ-10378,SO-43020,DN-2854,Haiti,PMO - US,From RDC,N/A - From RDC,Air,8/13/12,N/A - From RDC,28-Sep-12,11-Sep-12,11-Sep-12,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,4000,8400.0,2.1,0.01,"Aurobindo Unit III, India",Yes,1596,16840.67,11.78,16840.67,1596
32540,102-GY-T30,FPQ-6983,SCMS-97160,ASN-10064,Guyana,PMO - US,Direct Drop,EXW,Air,1/5/11,2/2/11,12-Apr-11,12-Apr-11,12-Apr-11,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,418,41800.0,100.0,1.0,Inverness Japan,Yes,205,6455.37,68.97,6455.37,205
65263,108-VN-T30,FPQ-15040,SCMS-263660,ASN-30941,Vietnam,PMO - US,Direct Drop,EXW,Air,10/30/14,12/8/14,31-Mar-15,31-Mar-15,1-Apr-15,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,8000,28400.0,3.55,0.12,Hetero Unit III Hyderabad IN,No,See ASN-30941 (ID#:32306),See ASN-30941 (ID#:32306),29.2,1593.67,953
74260,114-UG-T30,FPQ-7816,SCMS-111210,ASN-13118,Uganda,PMO - US,Direct Drop,CIP,Air,6/2/11,6/14/11,4-Jan-12,4-Jan-12,4-Jan-12,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Indinavir 400mg [Crixivan], capsules, 180 Caps",Indinavir,Crixivan,400mg,Capsule,180,36,1800.0,50.0,0.28,"MSD, Haarlem, NL",Yes,9,286,2.97,286,9
73843,161-ZA-T30,FPQ-6262,SCMS-83790,ASN-9179,South Africa,PMO - US,Direct Drop,DDP,Ocean,8/31/10,9/24/10,31-Jan-11,31-Jan-11,31-Jan-11,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,19177,45449.49,2.37,0.04,"Aurobindo Unit III, India",No,See ASN-9179 (ID#:28515),See ASN-9179 (ID#:28515),97.99,1220.84,6196
40205,105-SS-T30,FPQ-15569,SCMS-272140,ASN-31129,South Sudan,PMO - US,Direct Drop,EXW,Air,12/29/14,2/20/15,8-May-15,8-May-15,11-May-15,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,35,1120.0,32.0,1.6,"Trinity Biotech, Plc",Yes,191,2796.58,1.32,2796.58,191
30942,161-ZA-T30,FPQ-5648,SCMS-75480,ASN-8380,South Africa,PMO - US,Direct Drop,DDP,Air,6/2/10,6/17/10,13-Dec-10,13-Dec-10,13-Dec-10,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,9630,30334.5,3.15,0.01,"Aurobindo Unit III, India",Yes,3732,4876.34,65.4,4876.34,3732
7398,104-CI-T01,Pre-PQ Process,SCMS-30410,ASN-2712,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,9/18/08,24-Nov-08,24-Nov-08,24-Nov-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,,Test kit,40,603,45828.0,76.0,1.9,Bio-Rad Laboratories,Yes,679,9698.22,89.82,9698.22,679
84342,104-CI-T30,FPQ-12800,SO-46361,DN-3567,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,8/9/13,N/A - From RDC,28-Mar-14,26-Mar-14,28-Apr-14,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,2867,6020.7,2.1,0.01,"Aurobindo Unit III, India",Yes,5752,18607.76,7.45,18607.76,5752
60702,104-CI-T30,FPQ-15618,SCMS-272180,ASN-30880,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,12/17/14,2/20/15,9-Apr-15,9-Apr-15,10-Apr-15,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,2400,74400.0,31.0,1.55,Chembio Diagnostics Sys. Inc.,Yes,678,9253.44,87.57,9253.44,678
83388,106-HT-T30,FPQ-4384,SO-34720,DN-1590,Haiti,PMO - US,From RDC,N/A - From RDC,Air Charter,10/23/09,N/A - From RDC,25-Dec-09,17-Dec-09,17-Dec-09,ARV,Pediatric,SCMS from RDC,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180,230,3900.8,16.96,0.09,"MSD, Haarlem, NL",Yes,132,8329.13,8.41,8329.13,132
85187,200-ZW-T30,FPQ-6483,SO-37890,DN-2202,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,10/13/10,N/A - From RDC,30-Mar-11,13-Jun-11,13-Jun-11,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,811,7874.81,9.71,0.11,"Aurobindo Unit III, India",Yes,103,1224.02,16.98,1224.02,103
20239,107-RW-T30,FPQ-8742,SCMS-137421,ASN-15443,Rwanda,PMO - US,Direct Drop,EXW,Air,12/7/11,6/14/12,20-Jul-12,20-Jul-12,20-Jul-12,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,20370,72720.9,3.57,0.12,Hetero Unit III Hyderabad IN,Yes,1751,13244.8,101.95,13244.8,1751
83072,110-ZM-T30,FPQ-9472,SO-41703,DN-2834,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,3/8/12,N/A - From RDC,24-Sep-12,7-Sep-12,7-Sep-12,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,107175,762014.25,7.11,0.24,Mylan (formerly Matrix) Nashik,Yes,8709,7317.47,1068.34,7317.47,8709
25220,133-NG-T30,FPQ-10765,SCMS-162440,ASN-17647,Nigeria,PMO - US,Direct Drop,EXW,Air,10/5/12,10/16/12,9-Jan-13,28-Jan-13,28-Jan-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2352,209328.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,1058,21683.23,293.48,21683.23,1058
27400,110-ZM-T30,FPQ-12634,SCMS-201910,ASN-21478,Zambia,PMO - US,Direct Drop,EXW,Air,7/17/13,8/6/13,18-Sep-13,18-Sep-13,18-Sep-13,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,3000,96000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,880,7616.19,118.75,7616.19,880
10993,110-ZM-T01,Pre-PQ Process,SO-15280,DN-952,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-Oct-08,20-Oct-08,20-Oct-08,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,3200,6720.0,2.1,0.01,"Aurobindo Unit III, India",Yes,1120,8185.2,13.17,8185.2,1120
10724,117-ET-T01,Pre-PQ Process,SO-19400,DN-1027,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,12-Dec-08,12-Dec-08,12-Dec-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,31000,271560.0,8.76,0.15,"Aurobindo Unit III, India",Yes,1787,10073.76,532.26,10073.76,1787
86050,104-CI-T30,FPQ-13509,SO-47560,DN-3555,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,12/24/13,N/A - From RDC,27-Feb-14,18-Feb-14,3-Apr-14,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,2907,6104.7,2.1,0.01,"Aurobindo Unit III, India",Yes,1122,5520.83,6.28,5520.83,1122
37177,161-ZA-T30,FPQ-7175,SCMS-103460,ASN-10839,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,3/24/11,2-Sep-11,2-Sep-11,2-Sep-11,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,66793,487588.9,7.3,0.12,"Aurobindo Unit III, India",Yes,3458,3787.72,804.52,3787.72,3458
270,108-VN-T01,Pre-PQ Process,SCMS-14200,ASN-1171,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/21/07,21-Jan-08,21-Jan-08,21-Jan-08,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23,2149.05,5.36,2149.05,23
47050,111-MZ-T30,FPQ-8116,SCMS-118360,ASN-12611,Mozambique,PMO - US,Direct Drop,EXW,Air,8/4/11,8/24/11,12-Dec-11,12-Dec-11,12-Dec-11,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,7587,589509.9,77.7,0.78,Inverness Japan,Yes,1306,26532.85,972.69,26532.85,1306
23831,106-HT-T30,FPQ-13494,SCMS-225420,ASN-24982,Haiti,PMO - US,Direct Drop,EXW,Air,1/21/14,2/19/14,14-Apr-14,14-Apr-14,16-Apr-14,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,,Test kit,1,350,8575.0,24.5,24.5,"KHB Test Kit Facility, Shanghai China",Yes,240,3126.61,8.82,3126.61,240
12515,111-MZ-T01,Pre-PQ Process,SO-1882,DN-817,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,7-Aug-08,7-Aug-08,7-Aug-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,138325,995940.0,7.2,0.12,"Strides, Bangalore, India.",No,See DN-817 (ID#:10981),See DN-817 (ID#:10981),1593.5,9161.95,13123
20133,114-UG-T30,FPQ-4185,SCMS-54140,ASN-5318,Uganda,PMO - US,Direct Drop,FCA,Air,9/8/09,9/30/09,4-Nov-09,4-Nov-09,4-Nov-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,60,2169.6,36.16,0.3,ABBVIE Ludwigshafen Germany,Yes,36,814.04,4.25,814.04,36
5352,102-GY-T01,Pre-PQ Process,SCMS-765,ASN-575,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/6/07,7-Aug-07,7-Aug-07,7-Aug-07,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,1500,48000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,515,8576.8,76.8,8576.8,515
31177,117-ET-T30,FPQ-9096,SCMS-133380,ASN-16134,Ethiopia,PMO - US,Direct Drop,EXW,Air,1/5/12,1/23/12,5-Sep-12,5-Sep-12,5-Sep-12,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,44,1276.0,29.0,1.45,Chembio Diagnostics Sys. Inc.,Yes,15,218.75,1.79,218.75,15
52631,901-LR-T30,FPQ-8135,SCMS-118680,ASN-12405,Liberia,PMO - US,Direct Drop,EXW,Air,8/4/11,8/18/11,20-Oct-11,20-Oct-11,20-Oct-11,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,70,1400.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,25,648.95,2.31,648.95,25
73301,114-UG-T30,FPQ-6563,SCMS-91740,ASN-9071,Uganda,PMO - US,Direct Drop,FCA,Air,10/31/10,11/17/10,21-Dec-10,21-Dec-10,21-Dec-10,ARV,Adult,Hoffmann-La Roche ltd Basel,"Saquinavir 500mg [Invirase], tablets, 120 Tabs",Saquinavir,Invirase,500mg,Tablet,120,98,10150.19,103.57,0.86,Roche Madrid,Yes,18,968.25,16.75,968.25,18
14180,110-ZM-T30,FPQ-14081,SCMS-238950,ASN-26391,Zambia,PMO - US,Direct Drop,EXW,Air,4/15/14,5/16/14,28-Jul-14,28-Jul-14,15-Aug-14,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,9500,304000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,2783,20621.1,312.51,20621.1,2783
85008,110-ZM-T30,FPQ-14162,SO-48680,DN-4082,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,4/24/14,N/A - From RDC,30-Jan-15,19-Feb-15,20-Feb-15,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,132000,871200.0,6.6,0.11,Mylan (formerly Matrix) Nashik,Yes,10615,22520.71,895.59,22520.71,10615
25760,108-VN-T30,FPQ-5899,SCMS-77430,ASN-8081,Vietnam,PMO - US,Direct Drop,EXW,Air,6/23/10,7/1/10,21-Sep-10,21-Sep-10,21-Sep-10,ARV,Adult,STRIDES ARCOLAB LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1247,3167.38,2.54,0.04,"Strides, Bangalore, India.",Yes,71,4035.45,6.83,4035.45,71
86756,110-ZM-T30,FPQ-13221,SO-47208,DN-4045,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,10/31/13,N/A - From RDC,30-Jan-15,19-Feb-15,20-Feb-15,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,18447,85225.14,4.62,0.15,Hetero Unit III Hyderabad IN,Yes,1906,2201.74,87.61,2201.74,1906
35250,108-VN-T30,FPQ-13524,SCMS-226190,ASN-27099,Vietnam,PMO - US,Direct Drop,FCA,Air,2/6/14,3/10/14,18-Aug-14,18-Aug-14,25-Aug-14,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Ritonavir,Norvir,100mg,Tablet,30,300,6978.0,23.26,0.78,ABBVIE Ludwigshafen Germany,Yes,38,1779.09,7.17,1779.09,38
24324,161-ZA-T30,FPQ-5303,SCMS-68790,ASN-6911,South Africa,PMO - US,Direct Drop,DDP,Air,3/18/10,3/19/10,7-Jul-10,7-Jul-10,7-Jul-10,ARV,Adult,STRIDES ARCOLAB LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,303125,779031.25,2.57,0.04,"Strides, Bangalore, India.",Yes,15006,20134.62,1679.59,20134.62,15006
11204,104-CI-T01,Pre-PQ Process,SO-604,DN-446,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-Nov-07,30-Nov-07,30-Nov-07,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,Tablet - FDC,60,995,69650.0,70.0,1.17,GSK Ware (UK),Yes,219,1392,111.44,1392,219
84159,107-RW-T30,FPQ-9442,SO-41740,DN-2619,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,3/1/12,N/A - From RDC,9-Apr-12,29-Mar-12,29-Mar-12,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, oral solution w/syringe, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,1489,18612.5,12.5,0.05,"Aurobindo Unit III, India",Yes,557,5044.26,26.09,5044.26,557
83815,104-CI-T30,FPQ-13142,SO-47156,DN-3900,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,10/22/13,N/A - From RDC,30-Sep-14,8-Sep-14,19-Sep-14,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,156,327.6,2.1,0.01,"Aurobindo Unit III, India",Yes,100,396.32,0.34,396.32,100
85319,114-UG-T30,FPQ-10780,SO-43500,DN-2953,Uganda,PMO - US,From RDC,N/A - From RDC,Air,10/10/12,N/A - From RDC,2-Feb-13,2-Feb-13,2-Feb-13,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,2131,4602.96,2.16,0.04,Hetero Unit III Hyderabad IN,Yes,117,2005.48,6.45,2005.48,117
