,Managed_By,Fulfill_Via,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Weight_(Kilograms),Freight_Cost_USD,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean,Manufacturing_company,country_encoded,shipment_mode_encoded,manufacturing_site_encoded
14,PMO - US,Direct Drop,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,20.0,7500.0,202500.0,27.0,1.35,Yes,2278,15893.71,69.86500000000001,15893.71,2278.0,Chembio Diagnostics Sys. Inc.,2,1,12
15,PMO - US,Direct Drop,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240.0,1000.0,1920.0,1.92,0.01,Yes,941,4193.49,3.07,4193.49,941.0,Aurobindo Unit III,5,1,1
16,PMO - US,Direct Drop,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,Tablet,120.0,500.0,41095.0,82.19,0.68,Yes,117,1767.38,65.75,1767.38,117.0,ABBVIE Ludwigshafen Germany,5,1,8
17,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,750.0,53992.5,71.99,0.72,Yes,171,3518.38,86.39,3518.38,171.0,Inverness Japan,6,1,9
18,PMO - US,Direct Drop,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,100.0,25.0,8750.0,146.44396941431887,3.5,Yes,60,3097.85,14.0,3097.85,60.0,Pacific Biotech,6,1,27
19,PMO - US,Direct Drop,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,25.0,10000.0,200000.0,20.0,0.8,Yes,3335,27869.74,320.0,27869.74,3335.0,Standard Diagnostics,9,1,13
20,PMO - US,Direct Drop,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,25.0,10000.0,200000.0,20.0,0.8,Yes,3335,28461.1,320.0,28461.1,3335.0,Standard Diagnostics,9,1,13
21,PMO - US,Direct Drop,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,25.0,10000.0,200000.0,20.0,0.8,Yes,3335,28359.8,320.0,28359.8,3335.0,Standard Diagnostics,9,1,13
22,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60.0,64000.0,99200.0,1.55,0.03,Yes,4228,12237.61,158.72,12237.61,4228.0,Aurobindo Unit III,15,1,1
23,PMO - US,Direct Drop,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,20.0,10000.0,270000.0,27.0,1.35,Yes,3263,20885.78,432.0,20885.78,3263.0,Chembio Diagnostics Sys. Inc.,2,1,12
24,PMO - US,Direct Drop,ARV,Adult,Others,Others,Tablet,30.0,1000.0,17000.0,17.0,0.57,Yes,76,2282.57,27.2,2282.57,76.0,Gilead(Nycomed) Oranienburg DE,5,1,29
25,PMO - US,Direct Drop,ARV,Adult,Others,Generic,Tablet,60.0,400.0,3352.0,8.38,0.14,Yes,23,2149.05,5.36,2149.05,23.0,Ranbaxy,5,1,22
26,PMO - US,Direct Drop,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,Test kit - Ancillary,100.0,1500.0,15.0,0.01,0.0,Yes,99,0.75,0.02,0.75,99.0,Inverness Japan,10,1,9
27,PMO - US,Direct Drop,HRDT,HIV test,Others,Others,Test kit,40.0,476.0,36176.0,76.0,1.9,Yes,509,5446.51,57.88,5446.51,509.0,Bio-Rad Laboratories,1,1,24
28,PMO - US,Direct Drop,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,25.0,659.0,13180.0,20.0,0.8,Yes,206,2656.12,25.83,2656.12,206.0,Standard Diagnostics,1,1,13
29,PMO - US,Direct Drop,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,Test kit - Ancillary,100.0,213.0,2.13,0.01,0.0,Yes,14,360,0.0,360.0,14.0,Inverness Japan,14,1,9
30,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,1634.0,117631.66,71.99,0.72,Yes,373,4112.46,188.21,4112.46,373.0,Inverness Japan,8,1,9
31,PMO - US,Direct Drop,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,20.0,1425.0,38475.0,27.0,1.35,Yes,483,5468.88,61.56,5468.88,483.0,Chembio Diagnostics Sys. Inc.,2,1,12
32,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,142.0,10222.58,71.99,0.72,Yes,33,1715.17,16.36,1715.17,33.0,Inverness Japan,19,1,9
33,PMO - US,Direct Drop,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,30.0,8400.0,96432.0,11.48,0.38,Yes,654,4051.34,154.29,4051.34,654.0,Mylan (formerly Matrix) Nashik,5,1,2
34,PMO - US,Direct Drop,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Tablet,60.0,400.0,2800.0,7.0,0.12,Yes,81,2211.05,4.48,2211.05,81.0,BMS Meymac,5,1,21
35,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,5498.0,439785.02,79.99,0.8,Yes,1251,16090.22,703.66,16090.22,1251.0,Inverness Japan,2,1,9
36,PMO - US,Direct Drop,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,30.0,1344.0,18359.04,13.66,0.46,Yes,1537,13507.92,29.37,13507.92,1537.0,Mylan (formerly Matrix) Nashik,5,1,2
37,PMO - US,Direct Drop,ARV,Adult,BRISTOL-MYERS SQUIBB,Others,Capsule,30.0,2597.0,61470.99,23.67,0.79,Yes,117,645.1,98.35,645.1,117.0,BMS Meymac,9,1,21
38,PMO - US,Direct Drop,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,100.0,28.0,9800.0,146.44396941431887,3.5,Yes,109,782.13,15.68,782.13,109.0,Pacific Biotech,6,1,27
39,PMO - US,Direct Drop,HRDT,HIV test,"Trinity Biotech, Plc",Others,Test kit,100.0,84.0,11676.0,139.0,1.39,Yes,54,871.57,22.88,871.57,54.0,Trinity Biotech,6,1,7
40,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60.0,38640.0,92736.0,2.4,0.04,Yes,2719,18614.72,148.38,18614.72,2719.0,Aurobindo Unit III,5,1,1
41,PMO - US,Direct Drop,ACT,ACT,Others,Others,Tablet,306.40850760066724,34.0,1547.68,45.52,0.08,Yes,115,1755.87,2.48,1755.87,115.0,Novartis Pharma AG,2,1,10
42,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60.0,42000.0,60900.0,1.45,0.02,Yes,2600,10179.16,97.44,10179.16,2600.0,Aurobindo Unit III,5,1,1
43,PMO - US,Direct Drop,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,30.0,16800.0,171192.0,10.19,0.34,Yes,1224,4686.88,335.54,4686.88,1224.0,Mylan (formerly Matrix) Nashik,5,1,2
44,PMO - US,Direct Drop,MRDT,Malaria,Others,Others,Test kit,25.0,98.0,3675.0,37.5,1.5,Yes,34,180,5.88,180.0,34.0,Not Applicable,14,1,10
45,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,4500.0,323955.0,71.99,0.72,Yes,1053,11062.05,634.95,11062.05,1053.0,Inverness Japan,4,1,9
46,PMO - US,Direct Drop,HRDT,HIV test,Others,Others,Test kit,40.0,500.0,38000.0,76.0,1.9,Yes,562,11298.13,60.8,11298.13,562.0,Bio-Rad Laboratories,1,1,24
47,PMO - US,Direct Drop,ACT,ACT,Others,Generic,Tablet,12.0,25000.0,9750.0,0.39,0.03,Yes,1708,12830.91,19.11,12830.91,1708.0,Ipca Dadra/Nagar Haveli IN,1,1,10
48,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,150.0,10798.5,71.99,0.72,Yes,46,2698.04,21.17,2698.04,46.0,Inverness Japan,19,1,9
49,PMO - US,Direct Drop,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc",Uni-Gold,Test kit - Ancillary,2.0,15.0,450.0,30.0,11.035049360907804,Yes,1,578.01,0.88,578.01,1.0,Trinity Biotech,21,1,7
50,PMO - US,Direct Drop,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,25.0,319.0,6380.0,20.0,0.8,Yes,100,1122.24,12.5,1122.24,100.0,Standard Diagnostics,4,1,13
51,PMO - US,Direct Drop,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Others,Tablet,30.0,50000.0,1267480.9786782686,50.4,1.68,Yes,4093,9339,1825.8853909196707,9339.0,4093.0,MSD,9,1,16
52,PMO - US,Direct Drop,ANTM,Malaria,Others,Generic,Injection,100.0,140.0,2731.4,19.51,0.2,Yes,5209,25405.22,5.35,25405.22,5209.0,Gland Pharma Ltd Pally Factory,1,1,10
53,PMO - US,Direct Drop,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,20.0,5700.0,182400.0,32.0,1.6,Yes,1906,23914.8,357.5,23914.8,1906.0,Trinity Biotech,7,1,7
54,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60.0,5964.0,51350.04,8.61,0.14,Yes,3509,12835.2,100.65,12835.2,3509.0,Aurobindo Unit III,5,1,1
55,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60.0,21000.0,50400.0,2.4,0.04,No,See ASN-3562 (ID#:960),See ASN-3562 (ID#:960),98.78,12835.2,3509.0,Aurobindo Unit III,5,1,1
56,PMO - US,Direct Drop,ARV,Adult,CIPLA LIMITED,Generic,Tablet,60.0,10560.0,72864.0,6.9,0.12,Yes,924,4225.93,142.81,4225.93,924.0,Cipla,5,1,4
57,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60.0,2352.0,20250.72,8.61,0.14,Yes,211,892.5,39.69,892.5,211.0,Aurobindo Unit III,5,1,1
58,PMO - US,Direct Drop,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Kaletra,Oral,300.0,524.0,21536.4,41.1,0.14,Yes,644,6668.61,42.21,6668.61,644.0,ABBVIE (Abbott) Logis. UK,9,1,11
59,PMO - US,Direct Drop,HRDT,HIV test,Others,Others,Test kit,30.0,8249.0,185602.5,22.5,0.75,Yes,2800,12595.81,363.78,12595.81,2800.0,Premier Med. Corp Ltd. India,10,1,10
60,PMO - US,Direct Drop,ARV,Adult,BRISTOL-MYERS SQUIBB,Others,Capsule,30.0,200.0,4734.0,23.67,0.79,Yes,11,463,9.28,463.0,11.0,BMS Meymac,2,1,21
61,PMO - US,Direct Drop,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Tablet,60.0,80.0,760.0,9.5,0.16,Yes,43,260,1.49,260.0,43.0,BMS Meymac,6,1,21
62,PMO - US,Direct Drop,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Oral,200.0,32.0,402.88,12.59,0.06,No,See ASN-3675 (ID#:1046),See ASN-3675 (ID#:1046),0.79,260.0,43.0,BMS Meymac,6,1,21
63,PMO - US,Direct Drop,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Generic,Tablet,60.0,46.0,472.88,10.28,0.17,Yes,10,893.22,0.93,893.22,10.0,ABBVIE Ludwigshafen Germany,6,1,8
64,PMO - US,Direct Drop,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,100.0,20.0,7000.0,146.44396941431887,3.5,Yes,48,1172.11,13.72,1172.11,48.0,Pacific Biotech,21,1,27
65,PMO - US,Direct Drop,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,Tablet,120.0,10240.0,420864.0,41.1,0.34,Yes,2523,14806.48,824.89,14806.48,2523.0,ABBVIE Ludwigshafen Germany,1,1,8
66,PMO - US,Direct Drop,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Norvir,Capsule,306.40850760066724,400.0,15344.0,38.36,0.11,Yes,175,7642.97,30.07,7642.97,175.0,ABBVIE (Abbott) Logis. UK,1,1,11
67,PMO - US,Direct Drop,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,100.0,60.0,21000.0,146.44396941431887,3.5,Yes,144,3128.19,41.16,3128.19,144.0,Pacific Biotech,6,1,27
68,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,7500.0,600000.0,80.0,0.8,Yes,2215,16835.31,1176.0,16835.31,2215.0,Inverness Japan,17,1,9
69,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,6395.0,511600.0,80.0,0.8,Yes,1915,24514.33,1002.74,24514.33,1915.0,Inverness Japan,2,1,9
70,PMO - US,Direct Drop,ARV,Adult,HETERO LABS LIMITED,Generic,Tablet,30.0,55356.0,386384.88,6.98,0.23,Yes,4482,37404.74,757.31,37404.74,4482.0,Hetero Unit III Hyderabad IN,10,1,3
71,PMO - US,Direct Drop,HRDT,HIV test,Others,Others,Test kit,40.0,1000.0,110000.0,110.0,2.75,Yes,1101,8074.03,215.6,8074.03,1101.0,Bio-Rad Laboratories,1,1,24
72,PMO - US,Direct Drop,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Norvir,Capsule,306.40850760066724,8.0,613.76,76.72,0.23,Yes,48,3366.04,1.2,3366.04,48.0,ABBVIE (Abbott) France,5,1,10
73,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60.0,3500.0,39025.0,11.15,0.19,Yes,1804,6341.88,76.49,6341.88,1804.0,Aurobindo Unit III,5,1,1
74,PMO - US,Direct Drop,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,100.0,5.0,1750.0,146.44396941431887,3.5,Yes,12,684.42,3.43,684.42,12.0,Pacific Biotech,21,1,27
75,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Others,Test kit,25.0,67.0,5025.0,75.0,3.0,Yes,48,401.97,9.85,401.97,48.0,Chembio Diagnostics Sys. Inc.,19,1,12
76,PMO - US,Direct Drop,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Tablet,60.0,400.0,2800.0,7.0,0.12,Yes,148,14.36,5.49,14.36,148.0,BMS Meymac,5,1,21
77,PMO - US,Direct Drop,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,20.0,220.0,7040.0,32.0,1.6,Yes,79,1736.18,13.8,1736.18,79.0,Trinity Biotech,19,1,7
78,PMO - US,Direct Drop,HRDT,HIV test,Others,Others,Test kit,40.0,147.0,11076.45,75.35,1.88,Yes,165,1816.57,69.86500000000001,1816.57,165.0,Bio-Rad Laboratories,1,1,24
79,PMO - US,Direct Drop,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,100.0,6.0,2400.0,146.44396941431887,4.0,Yes,15,1039.5,69.86500000000001,1039.5,15.0,Pacific Biotech,1,1,27
80,PMO - US,Direct Drop,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Tablet,60.0,2800.0,19600.0,7.0,0.12,Yes,555,3292.15,69.86500000000001,3292.15,555.0,BMS Meymac,5,1,21
81,PMO - US,Direct Drop,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,100.0,15.0,6000.0,146.44396941431887,4.0,Yes,36,1195.29,69.86500000000001,1195.29,36.0,Pacific Biotech,6,1,27
82,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60.0,894.0,2994.9,3.35,0.06,Yes,479,4861.14,69.86500000000001,4861.14,479.0,Aurobindo Unit III,2,1,1
83,PMO - US,Direct Drop,ARV,Adult,CIPLA LIMITED,Generic,Tablet,60.0,25100.0,276100.0,11.0,0.18,Yes,2575,18772.94,69.86500000000001,18772.94,2575.0,Cipla,5,1,4
84,PMO - US,Direct Drop,ARV,Adult,STRIDES ARCOLAB LIMITED,Generic,Capsule,60.0,95500.0,144205.0,1.51,0.03,Yes,9170,42453.21,69.86500000000001,42453.21,9170.0,Strides,5,1,5
85,PMO - US,Direct Drop,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,20.0,900.0,36000.0,40.0,2.0,Yes,316,4989.87,69.86500000000001,4989.87,316.0,Trinity Biotech,14,1,7
86,PMO - US,Direct Drop,ARV,Adult,CIPLA LIMITED,Generic,Tablet,60.0,70000.0,525000.0,7.5,0.12,Yes,6813,31858.09,69.86500000000001,31858.09,6813.0,Cipla,5,1,4
87,PMO - US,Direct Drop,ARV,Adult,CIPLA LIMITED,Generic,Tablet,30.0,71577.0,1087970.4,15.2,0.51,No,See ASN-242 (ID#:64),See ASN-242 (ID#:64),69.86500000000001,64179.42,7416.0,Cipla,10,1,4
88,PMO - US,Direct Drop,ARV,Adult,CIPLA LIMITED,Generic,Tablet,60.0,5605.0,202340.5,36.1,0.6,No,See ASN-242 (ID#:64),See ASN-242 (ID#:64),69.86500000000001,64179.42,7416.0,Cipla,10,1,26
89,PMO - US,Direct Drop,ARV,Adult,CIPLA LIMITED,Generic,Tablet,60.0,25000.0,187500.0,7.5,0.12,Yes,2348,21439.59,300.0,21439.59,2348.0,Cipla,5,1,4
90,PMO - US,Direct Drop,HRDT,HIV test,Others,Others,Test kit,40.0,375.0,28500.0,76.0,1.9,Yes,402,4445.75,69.86500000000001,4445.75,402.0,Bio-Rad Laboratories,2,1,24
91,PMO - US,Direct Drop,HRDT,HIV test,Others,Determine,Test kit,100.0,4650.0,372000.0,80.0,0.8,Yes,1707,24859.45,69.86500000000001,24859.45,1707.0,ABBVIE GmbH & Co.KG Wiesbaden,15,1,25
92,PMO - US,Direct Drop,HRDT,HIV test,Others,Determine,Test kit,100.0,3500.0,280000.0,80.0,0.8,Yes,1194,5858.57,448.0,5858.57,1194.0,ABBVIE GmbH & Co.KG Wiesbaden,2,1,25
93,PMO - US,Direct Drop,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240.0,1000.0,1920.0,1.92,0.01,Yes,960,13762.41,3.07,13762.41,960.0,Aurobindo Unit III,5,1,1
94,PMO - US,Direct Drop,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240.0,1000.0,2100.0,2.1,0.01,No,See ASN-744 (ID#:1356),See ASN-744 (ID#:1356),3.36,13762.41,960.0,Aurobindo Unit III,5,1,1
95,PMO - US,Direct Drop,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral,240.0,1000.0,2100.0,2.1,0.01,No,See ASN-781 (ID#:115),See ASN-781 (ID#:115),3.36,4193.49,941.0,Aurobindo Unit III,5,1,1
96,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,60.0,3000.0,40500.0,13.5,0.22,Yes,332,4454.62,64.8,4454.62,332.0,Aurobindo Unit III,5,1,1
97,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,30.0,22500.0,277425.0,12.33,0.41,Yes,1955,16095.39,443.88,16095.39,1955.0,Aurobindo Unit III,5,1,1
98,PMO - US,Direct Drop,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,Tablet,120.0,500.0,41095.0,82.19,0.68,Yes,117,1767.38,65.75,1767.38,117.0,ABBVIE Ludwigshafen Germany,5,1,8
99,PMO - US,Direct Drop,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,25.0,10000.0,200000.0,20.0,0.8,Yes,3336,25165.3,320.0,25165.3,3336.0,Standard Diagnostics,9,1,13
100,PMO - US,Direct Drop,ARV,Adult,ASPEN PHARMACARE,Others,Tablet,30.0,1609.0,27353.0,17.0,0.57,Yes,157,7922.24,43.76,7922.24,157.0,Aspen-OSD,10,1,15
101,PMO - US,Direct Drop,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Norvir,Capsule,306.40850760066724,100.0,18333.0,146.44396941431887,0.55,Yes,337,2535.4,29.33,2535.4,337.0,ABBVIE (Abbott) Logis. UK,5,1,11
102,PMO - US,Direct Drop,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,20.0,10000.0,270000.0,27.0,1.35,Yes,3336,28002.75,432.0,28002.75,3336.0,Chembio Diagnostics Sys. Inc.,2,1,12
103,PMO - US,Direct Drop,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,60.0,1099.0,30222.5,27.5,0.46,Yes,113,1511.25,48.36,1511.25,113.0,Mylan (formerly Matrix) Nashik,10,1,2
104,PMO - US,Direct Drop,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,60.0,1200.0,2100.0,1.75,0.03,Yes,125,2429.85,3.36,2429.85,125.0,Aurobindo Unit III,5,1,1
105,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,650.0,51993.5,79.99,0.8,Yes,148,2577.27,83.19,2577.27,148.0,Inverness Japan,2,1,9
106,PMO - US,Direct Drop,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,20.0,450.0,14400.0,32.0,1.6,Yes,154,2496.62,23.04,2496.62,154.0,Trinity Biotech,21,1,7
107,PMO - US,Direct Drop,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,20.0,10270.0,277290.0,27.0,1.35,Yes,2907,18864.37,443.66,18864.37,2907.0,Chembio Diagnostics Sys. Inc.,2,1,12
108,PMO - US,Direct Drop,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,20.0,9000.0,288000.0,32.0,1.6,Yes,9000,55746.59,460.8,55746.59,9000.0,Trinity Biotech,7,1,7
109,PMO - US,Direct Drop,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,20.0,6040.0,193280.0,32.0,1.6,Yes,2052,24689,309.25,24689.0,2052.0,Trinity Biotech,4,1,7
110,PMO - US,Direct Drop,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,20.0,289.0,7803.0,27.0,1.35,Yes,79,1104.69,15.29,1104.69,79.0,Chembio Diagnostics Sys. Inc.,1,1,12
111,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,3000.0,215970.0,71.99,0.72,Yes,682,5298.9,345.55,5298.9,682.0,Inverness Japan,7,1,9
112,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,1116.0,78120.0,70.0,0.7,Yes,255,5175.72,124.99,5175.72,255.0,Inverness Japan,1,1,9
113,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,1116.0,78120.0,70.0,0.7,Yes,256,7118.12,153.12,7118.12,256.0,Inverness Japan,1,1,9
114,PMO - US,Direct Drop,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,20.0,832.0,26624.0,32.0,1.6,Yes,832,3740.04,42.6,3740.04,832.0,Trinity Biotech,14,1,7
115,PMO - US,Direct Drop,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,100.0,213.0,15333.87,71.99,0.72,Yes,49,959.46,24.53,959.46,49.0,Inverness Japan,14,1,9
116,PMO - US,Direct Drop,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,100.0,10.0,3500.0,146.44396941431887,3.5,Yes,39,604,5.6,604.0,39.0,Pacific Biotech,21,1,27
